# V0=6V p=1.2x10^{-4} Rfili=6.5
# Guad=x2 Vponte=5.65 (da misurare) FS multimetro 6mV
# Raffreddamento
# Tdito (K)	Vout (V)
103.941	0.400
104.230	0.400
104.230	0.396
104.230	0.391
103.941	0.400
104.230	0.396
103.941	0.396
104.520	0.396
104.230	0.396
104.230	0.400
104.230	0.391
104.230	0.400
104.230	0.410
104.230	0.400
104.230	0.400
104.520	0.396
104.230	0.410
104.809	0.396
104.520	0.400
104.809	0.386
104.230	0.381
105.389	0.396
104.809	0.400
104.809	0.396
104.520	0.400
104.809	0.400
104.520	0.391
104.809	0.396
104.520	0.396
104.809	0.391
104.809	0.391
105.099	0.396
105.099	0.396
104.809	0.396
105.099	0.396
105.099	0.396
105.099	0.396
105.099	0.386
105.099	0.400
105.389	0.391
105.099	0.400
105.099	0.396
105.099	0.391
105.389	0.405
105.099	0.396
105.389	0.391
105.389	0.396
105.389	0.381
105.389	0.400
105.389	0.396
105.678	0.400
105.389	0.396
105.678	0.391
105.389	0.396
105.968	0.347
105.678	0.396
105.968	0.396
105.678	0.391
105.678	0.391
105.678	0.400
105.968	0.396
105.678	0.361
105.968	0.391
105.968	0.396
105.968	0.371
105.968	0.386
105.968	0.391
106.257	0.396
105.968	0.396
106.257	0.396
105.968	0.396
105.968	0.396
105.968	0.415
106.257	0.386
105.968	0.396
105.968	0.396
106.257	0.386
106.547	0.381
106.257	0.400
106.257	0.396
106.257	0.396
106.257	0.400
106.257	0.400
106.257	0.386
106.547	0.400
106.547	0.386
106.547	0.391
106.547	0.396
106.547	0.391
106.547	0.391
106.257	0.391
106.547	0.381
106.257	0.396
106.837	0.391
106.547	0.386
106.547	0.391
106.837	0.396
106.547	0.400
106.547	0.386
106.837	0.391
106.837	0.386
106.837	0.391
106.837	0.376
106.837	0.400
106.837	0.396
107.126	0.391
107.126	0.396
107.126	0.439
107.126	0.391
107.126	0.391
107.416	0.396
107.126	0.391
107.416	0.386
107.126	0.391
107.416	0.371
107.416	0.371
107.126	0.391
107.126	0.396
107.416	0.396
107.416	0.391
107.416	0.396
107.705	0.386
107.416	0.391
107.705	0.396
107.705	0.386
107.705	0.391
107.705	0.391
107.416	0.391
108.285	0.410
107.705	0.391
107.705	0.391
107.705	0.391
107.705	0.391
107.705	0.391
107.705	0.396
107.995	0.386
107.995	0.386
107.995	0.396
107.995	0.386
107.995	0.391
107.995	0.391
107.995	0.391
107.995	0.391
107.995	0.381
107.995	0.396
107.995	0.400
107.995	0.391
107.995	0.386
108.285	0.386
108.574	0.391
108.285	0.396
108.285	0.391
108.574	0.386
108.574	0.386
108.574	0.391
108.574	0.391
108.285	0.386
108.285	0.396
108.574	0.386
108.285	0.386
108.574	0.386
108.574	0.386
108.864	0.386
108.574	0.391
108.864	0.391
108.574	0.400
108.574	0.391
108.864	0.400
108.864	0.391
108.574	0.386
109.153	0.356
108.864	0.386
109.153	0.391
108.864	0.386
108.864	0.391
108.864	0.381
108.574	0.391
109.153	0.386
108.864	0.391
109.153	0.386
109.153	0.386
109.153	0.391
109.153	0.391
109.153	0.386
109.153	0.391
107.995	0.396
109.443	0.391
109.153	0.386
109.443	0.386
109.443	0.381
109.732	0.386
109.732	0.391
109.732	0.396
109.443	0.420
109.443	0.391
109.443	0.386
109.443	0.396
109.443	0.396
109.443	0.391
109.732	0.381
109.443	0.396
109.732	0.396
110.022	0.396
109.732	0.391
109.732	0.396
109.732	0.396
109.732	0.396
110.022	0.386
110.022	0.386
110.022	0.391
110.022	0.391
110.022	0.391
109.732	0.391
110.022	0.386
110.022	0.386
109.732	0.400
110.022	0.425
110.022	0.396
110.312	0.396
110.312	0.400
110.312	0.400
110.312	0.396
110.312	0.405
110.312	0.386
110.312	0.425
110.601	0.386
110.312	0.396
110.312	0.391
110.601	0.396
110.601	0.391
110.601	0.391
110.601	0.396
110.312	0.400
110.601	0.405
110.312	0.400
110.312	0.396
110.601	0.400
110.601	0.396
110.601	0.396
110.891	0.396
110.601	0.400
110.601	0.400
110.891	0.400
110.891	0.400
110.891	0.396
111.180	0.391
111.180	0.386
111.180	0.396
111.180	0.396
111.180	0.396
110.891	0.391
110.891	0.405
111.180	0.391
111.470	0.400
110.891	0.396
111.180	0.400
111.180	0.396
111.180	0.396
111.180	0.400
111.470	0.400
111.470	0.400
111.180	0.400
111.470	0.396
111.470	0.400
111.470	0.410
111.470	0.400
111.470	0.381
111.760	0.396
111.470	0.396
111.470	0.400
